A1BG	alpha-1-B glycoprotein
FOXRED1	H17|FAD-dependent oxidoreductase domain containing 1
FOXRED2	FLJ23322|FAD-dependent oxidoreductase domain containing 2
FOXS1	FREAC10|forkhead box S1
FPGS	folylpolyglutamate synthase
FPGT	GFPP|fucose-1-phosphate guanylyltransferase
FPR1	FPR|FMLP|formyl peptide receptor 1
FPR2	LXA4R|HM63|FPRH2|FMLPX|FPR2A|FMLP-R-II|ALXR|formyl peptide receptor 2
FPR3	FPRH1|FMLPY|RMLP-R-I|formyl peptide receptor 3
FRA10AC1	fragile site, folic acid type, rare, fra(10)(q23.3) or fra(10)(q24.2) candidate 1
FRAS1	FLJ22031|FLJ14927|KIAA1500|Fraser extracellular matrix complex subunit 1
FRAT1	frequently rearranged in advanced T-cell lymphomas 1
FRAT2	frequently rearranged in advanced T-cell lymphomas 2
FREM1	FLJ25461|C9orf145|C9orf143|DKFZp686M16108|TILRR|FRAS1 related extracellular matrix 1
FREM2	DKFZp686J0811|FRAS1 related extracellular matrix protein 2
FREM3	FRAS1 related extracellular matrix 3
FRG1	FSG1|FRG1A|FSHD region gene 1
FRG2	FRG2A|FSHD region gene 2
FRG2B	FSHD region gene 2 family, member B
FRG2C	FSHD region gene 2 family, member C
FRK	RAK|GTK|fyn-related Src family tyrosine kinase
FRMD1	FLJ00181|DKFZp434O0117|FLJ40260|FLJ22615|bA164L23.1|FERM domain containing 1
FRMD3	EPB41L4O|MGC20553|FERM domain containing 3
FRMD4A	FLJ10210|KIAA1294|bA295P9.4|FERM domain containing 4A
FRMD4B	KIAA1013|GRSP1|FERM domain containing 4B
FRMD5	MGC14161|FERM domain containing 5
FRMD6	MGC17921|willin|EX1|FERM domain containing 6
FRMD7	FLJ43346|FERM domain containing 7
FRMD8	FLJ90369|FKSG44|FERM domain containing 8
FRMPD1	KIAA0967|FRMD2|FERM and PDZ domain containing 1
FRMPD2	MGC35285|FERM and PDZ domain containing 2
FRMPD3	RP5-1070B1.1|KIAA1817|FERM and PDZ domain containing 3
FRMPD4	KIAA0316|FERM and PDZ domain containing 4
FRRS1	SDR2|ferric-chelate reductase 1
FRRS1L	CG-6|ferric-chelate reductase 1-like
FRS2	SNT-1|FRS2alpha|SNT1|FRS2A|fibroblast growth factor receptor substrate 2
FRS3	SNT-2|FRS2beta|FRS2B|fibroblast growth factor receptor substrate 3
FRY	bA37E23.1|13CDNA73|CG003|furry homolog (Drosophila)
FRYL	DKFZp686E205|AF4p12|FRY-like
FRZB	FRZB-PEN|FRZB1|SRFP3|FRP-3|SFRP3|FRE|FRITZ|FRZB-1|FZRB|hFIZ|frizzled-related protein
FSBP	fibrinogen silencer binding protein
FSCB	DKFZP434F1017|fibrous sheath CABYR binding protein
FSCN1	p55|FLJ38511|fascin actin-bundling protein 1
FSCN2	RP30|RFSN|fascin actin-bundling protein 2, retinal
FSCN3	fascin actin-bundling protein 3, testicular
FSD1	MGC3213|MIR1|fibronectin type III and SPRY domain containing 1
FSD1L	fibronectin type III and SPRY domain containing 1-like
FSD2	RP11-127F21|fibronectin type III and SPRY domain containing 2
FSHB	follicle stimulating hormone, beta polypeptide
FSHR	FSHRO|LGR1|follicle stimulating hormone receptor
FSIP1	FLJ35989|fibrous sheath interacting protein 1
FSIP2	FLJ34780|fibrous sheath interacting protein 2
FST	FS|follistatin
FSTL1	FRP|FSL1|follistatin-like 1
FSTL3	FLRG|FSRP|follistatin-like 3 (secreted glycoprotein)
FSTL4	KIAA1061|follistatin-like 4
FSTL5	DKFZp566D234|KIAA1263|follistatin-like 5
FTCD	formimidoyltransferase cyclodeaminase
FTH1	FTH|PLIF|PIG15|FHC|ferritin, heavy polypeptide 1
FTHL17	CT38|ferritin, heavy polypeptide-like 17
FTL	MGC71996|NBIA3|ferritin, light polypeptide
FTMT	MtF|ferritin mitochondrial
FTO	KIAA1752|MGC5149|ALKBH9|fat mass and obesity associated
FTSJ1	JM23|CDLIV|SPB1|TRM7|TRMT7|FtsJ RNA methyltransferase homolog 1 (E. coli)
FTSJ2	FJH1|MRM2|RRMJ2|FtsJ RNA methyltransferase homolog 2 (E. coli)
FTSJ3	SPB1|FtsJ homolog 3 (E. coli)
FUBP1	FBP|far upstream element (FUSE) binding protein 1
FUBP3	far upstream element (FUSE) binding protein 3
FUCA1	fucosidase, alpha-L- 1, tissue
FUCA2	MGC1314|dJ20N2.5|fucosidase, alpha-L- 2, plasma
FUK	FLJ39408|fucokinase
FUNDC1	MGC51029|FUN14 domain containing 1
FUNDC2	HCBP6|DC44|FUN14 domain containing 2
FUOM	FLJ26016|FucU|FucM|fucose mutarotase
FURIN	SPC1|furin (paired basic amino acid cleaving enzyme)
FUS	TLS|FUS1|hnRNP-P2|HNRNPP2|FUS RNA binding protein
FUT1	fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)
FUT10	fucosyltransferase 10 (alpha (1,3) fucosyltransferase)
FUT11	MGC33202|fucosyltransferase 11 (alpha (1,3) fucosyltransferase)
FUT2	sej|Se2|SEC2|fucosyltransferase 2 (secretor status included)
FUT3	CD174|fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group)
FUT4	FUC-TIV|fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)
FUT5	FUC-TV|fucosyltransferase 5 (alpha (1,3) fucosyltransferase)
FUT6	FT1A|FCT3A|FucT-VI|FLJ40754|fucosyltransferase 6 (alpha (1,3) fucosyltransferase)
FUT7	fucosyltransferase 7 (alpha (1,3) fucosyltransferase)
FUT8	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)
FUT9	Fuc-TIX|fucosyltransferase 9 (alpha (1,3) fucosyltransferase)
FUZ	FLJ22688|Fy|fuzzy planar cell polarity protein
FXN	FA|FARR|X25|CyaY|frataxin
FXR1	fragile X mental retardation, autosomal homolog 1
FXR2	fragile X mental retardation, autosomal homolog 2
FXYD1	FXYD domain containing ion transport regulator 1
FXYD2	MGC12372|FXYD domain containing ion transport regulator 2
FXYD3	MAT-8|FXYD domain containing ion transport regulator 3
FXYD4	CHIF|FXYD domain containing ion transport regulator 4
FXYD5	OIT2|FXYD domain containing ion transport regulator 5
FXYD6	FXYD domain containing ion transport regulator 6
FXYD7	FXYD domain containing ion transport regulator 7
FYB	SLAP-130|FYB-120/130|FYN binding protein
FYCO1	FLJ13335|ZFYVE7|FYVE and coiled-coil domain containing 1
FYN	SYN|SLK|MGC45350|FYN proto-oncogene, Src family tyrosine kinase
FYTTD1	DKFZp761B1514|UIF|forty-two-three domain containing 1
FZD1	DKFZp564G072|frizzled class receptor 1
FZD10	CD350|frizzled class receptor 10
FZD2	frizzled class receptor 2
FZD3	frizzled class receptor 3
FZD4	CD344|frizzled class receptor 4
FZD5	HFZ5|DKFZP434E2135|frizzled class receptor 5
FZD6	Hfz6|frizzled class receptor 6
FZD7	FzE3|frizzled class receptor 7
FZD8	frizzled class receptor 8
FZD9	FZD3|CD349|frizzled class receptor 9
FZR1	HCDH1|CDH1|HCDH|FZR|FZR2|KIAA1242|CDC20C|fizzy/cell division cycle 20 related 1
G0S2	G0/G1 switch 2
G2E3	FLJ20333|PHF7B|G2/M-phase specific E3 ubiquitin protein ligase
G3BP1	HDH-VIII|G3BP|GTPase activating protein (SH3 domain) binding protein 1
G3BP2	KIAA0660|GTPase activating protein (SH3 domain) binding protein 2
G6PC	GSD1a|glucose-6-phosphatase, catalytic subunit
G6PC2	IGRP|glucose-6-phosphatase, catalytic, 2
G6PC3	UGRP|glucose 6 phosphatase, catalytic, 3
G6PD	G6PD1|glucose-6-phosphate dehydrogenase
GAA	glucosidase, alpha; acid
GAB1	GRB2-associated binding protein 1
GAB2	KIAA0571|GRB2-associated binding protein 2
GAB3	GRB2-associated binding protein 3
GAB4	GRB2-associated binding protein family, member 4
GABARAP	MM46|ATG8A|GABA(A) receptor-associated protein
GABARAPL1	gec1|APG8L|ATG8L|ATG8B|GABA(A) receptor-associated protein like 1
GABARAPL2	GEF2|ATG8|GATE16|GATE-16|ATG8C|GABA(A) receptor-associated protein like 2
GABBR1	hGB1a|GPRC3A|gamma-aminobutyric acid (GABA) B receptor, 1
GABBR2	HG20|GABABR2|GPRC3B|gamma-aminobutyric acid (GABA) B receptor, 2
GABPA	E4TF1A|NFT2|NRF2|E4TF1-60|NRF2A|GA binding protein transcription factor, alpha subunit 60kDa
GABPB1	E4TF1-47|GABPB|GA binding protein transcription factor, beta subunit 1
GABPB2	MGC29891|GA binding protein transcription factor, beta subunit 2
GABRA1	EJM5|gamma-aminobutyric acid (GABA) A receptor, alpha 1
GABRA2	gamma-aminobutyric acid (GABA) A receptor, alpha 2
GABRA3	gamma-aminobutyric acid (GABA) A receptor, alpha 3
GABRA4	gamma-aminobutyric acid (GABA) A receptor, alpha 4
GABRA5	gamma-aminobutyric acid (GABA) A receptor, alpha 5
GABRA6	gamma-aminobutyric acid (GABA) A receptor, alpha 6
GABRB1	gamma-aminobutyric acid (GABA) A receptor, beta 1
GABRB2	gamma-aminobutyric acid (GABA) A receptor, beta 2
GABRB3	gamma-aminobutyric acid (GABA) A receptor, beta 3
GABRD	gamma-aminobutyric acid (GABA) A receptor, delta
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon
GABRG1	gamma-aminobutyric acid (GABA) A receptor, gamma 1
GABRG2	gamma-aminobutyric acid (GABA) A receptor, gamma 2
GABRG3	gamma-aminobutyric acid (GABA) A receptor, gamma 3
GABRP	gamma-aminobutyric acid (GABA) A receptor, pi
GABRQ	THETA|gamma-aminobutyric acid (GABA) A receptor, theta
GABRR1	gamma-aminobutyric acid (GABA) A receptor, rho 1
GABRR2	gamma-aminobutyric acid (GABA) A receptor, rho 2
GABRR3	gamma-aminobutyric acid (GABA) A receptor, rho 3 (gene/pseudogene)
GAD1	glutamate decarboxylase 1
GAD2	GAD65|glutamate decarboxylase 2
GADD45A	GADD45|growth arrest and DNA-damage-inducible, alpha
GADD45B	GADD45BETA|DKFZP566B133|growth arrest and DNA-damage-inducible, beta
GADD45G	DDIT2|GADD45gamma|GRP17|CR6|growth arrest and DNA-damage-inducible, gamma
GADD45GIP1	PLINP-1|MGC4667|MGC4758|CKBBP2|PRG6|Plinp1|CRIF1|CKbetaBP2|growth arrest and DNA-damage-inducible, gamma interacting protein 1
GADL1	glutamate decarboxylase-like 1
GAGE1	CT4.1|G antigen 1
GAGE10	OTTHUMG00000024136|G antigen 10
GAGE12B	OTTHUMG00000024142|G antigen 12B
GAGE12C	OTTHUMG00000024144|G antigen 12C
GAGE12D	OTTHUMG00000024145|G antigen 12D
GAGE12E	OTTHUMG00000024146|G antigen 12E
GAGE12F	OTTHUMG00000024147|G antigen 12F
GAGE12G	OTTHUMG00000024148|G antigen 12G
GAGE12H	OTTHUMG00000024149|G antigen 12H
GAGE12I	OTTHUMG00000067390|G antigen 12I
GAGE12J	OTTHUMG00000024137|G antigen 12J
GAGE13	OTTHUMG00000024138|G antigen 13
GAGE2A	CT4.2|G antigen 2A
GAGE2B	G antigen 2B
GAGE2C	G antigen 2C
GAGE2D	GAGE8|G antigen 2D
GAGE2E	GAGE8|G antigen 2E
GAK	DNAJC26|cyclin G associated kinase
GAL	GMAP|GAL-GMAP|GLNN|galanin/GMAP prepropeptide
GAL3ST1	CST|galactose-3-O-sulfotransferase 1
GAL3ST2	GP3ST|galactose-3-O-sulfotransferase 2
GAL3ST3	GAL3ST2|galactose-3-O-sulfotransferase 3
GAL3ST4	FLJ12116|galactose-3-O-sulfotransferase 4
GALC	galactosylceramidase
GALE	SDR1E1|UDP-galactose-4-epimerase
GALK1	galactokinase 1
GALK2	GK2|galactokinase 2
GALM	galactose mutarotase (aldose 1-epimerase)
GALNS	GAS|GALNAC6S|galactosamine (N-acetyl)-6-sulfatase
GALNT1	GalNAc-T1|polypeptide N-acetylgalactosaminyltransferase 1
GALNT10	GalNAc-T10|polypeptide N-acetylgalactosaminyltransferase 10
GALNT11	GalNAc-T11|polypeptide N-acetylgalactosaminyltransferase 11
GALNT12	GalNAc-T12|polypeptide N-acetylgalactosaminyltransferase 12
GALNT13	KIAA1918|GalNAc-T13|polypeptide N-acetylgalactosaminyltransferase 13
GALNT14	GalNac-T10|FLJ12691|GalNac-T14|polypeptide N-acetylgalactosaminyltransferase 14
GALNT15	GALNT7|pp-GalNAc-T15|polypeptide N-acetylgalactosaminyltransferase 15
GALNT16	KIAA1130|GalNAc-T16|polypeptide N-acetylgalactosaminyltransferase 16
GALNT18	MGC71806|GALNT15|GalNAc-T18|polypeptide N-acetylgalactosaminyltransferase 18
GALNT2	GalNAc-T2|polypeptide N-acetylgalactosaminyltransferase 2
GALNT3	GalNAc-T3|HHS|HFTC|polypeptide N-acetylgalactosaminyltransferase 3
GALNT4	GalNAc-T4|polypeptide N-acetylgalactosaminyltransferase 4
GALNT5	GalNAc-T5|polypeptide N-acetylgalactosaminyltransferase 5
GALNT6	GalNAc-T6|polypeptide N-acetylgalactosaminyltransferase 6
GALNT7	GALNAC-T7|polypeptide N-acetylgalactosaminyltransferase 7
GALNT8	GALNAC-T8|polypeptide N-acetylgalactosaminyltransferase 8
GALNT9	GALNAC-T9|polypeptide N-acetylgalactosaminyltransferase 9
GALNTL5	GalNAc-T5L|polypeptide N-acetylgalactosaminyltransferase-like 5
GALNTL6	GALNT17|GalNAc-T6L|polypeptide N-acetylgalactosaminyltransferase-like 6
GALP	galanin-like peptide
GALR1	galanin receptor 1
GALR2	GALNR2|galanin receptor 2
GALR3	galanin receptor 3
GALT	galactose-1-phosphate uridylyltransferase
GAMT	PIG2|TP53I2|guanidinoacetate N-methyltransferase
GAN	GAN1|KLHL16|gigaxonin
GANAB	GluII|G2AN|KIAA0088|glucosidase, alpha; neutral AB
GANC	glucosidase, alpha; neutral C
GAP43	B-50|PP46|growth associated protein 43
GAPDH	glyceraldehyde-3-phosphate dehydrogenase
GAPDHS	GAPDH-2|GAPD2|glyceraldehyde-3-phosphate dehydrogenase, spermatogenic
GAPT	FLJ33641|GRB2-binding adaptor protein, transmembrane
GAPVD1	DKFZP434C212|KIAA1521|GTPase activating protein and VPS9 domains 1
GAR1	GAR1 homolog, ribonucleoprotein
GAREM1	FLJ21610|GRB2 associated regulator of MAPK1 1
GAREM2	KIAA2038|FLJ00375|GRB2 associated regulator of MAPK1 2
GARNL3	DKFZp761J1523|bA356B19.1|GTPase activating Rap/RanGAP domain-like 3
GARS	GlyRS|DSMAV|SMAD1|glycyl-tRNA synthetase
GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
GAS1	growth arrest-specific 1
GAS2	growth arrest-specific 2
GAS2L1	GAR22|growth arrest-specific 2 like 1
GAS2L2	GAR17|growth arrest-specific 2 like 2
GAS2L3	growth arrest-specific 2 like 3
GAS6	AXSF|FLJ34709|DKFZp666G247|growth arrest-specific 6
GAS7	KIAA0394|MGC1348|growth arrest-specific 7
GAS8	DRC4|growth arrest-specific 8
GAST	gastrin
GATA1	ERYF1|NFE1|GATA-1|NF-E1|GATA binding protein 1 (globin transcription factor 1)
GATA2	NFE1B|GATA binding protein 2
GATA3	HDR|GATA binding protein 3
GATA4	GATA binding protein 4
GATA5	bB379O24.1|GATAS|GATA binding protein 5
GATA6	GATA binding protein 6
GATAD1	ODAG|RG083M05.2|FLJ22489|GATA zinc finger domain containing 1
GATAD2A	p66alpha|GATA zinc finger domain containing 2A
GATAD2B	P66beta|GATA zinc finger domain containing 2B
GATB	glutamyl-tRNA(Gln) amidotransferase, subunit B
GATC	FLJ37000|15E1.2|gatC|glutamyl-tRNA(Gln) amidotransferase, subunit C
GATM	AGAT|glycine amidinotransferase (L-arginine:glycine amidinotransferase)
GATS	DKFZp686B07267|STAG3OS|GATS, stromal antigen 3 opposite strand
GATSL2	GATS protein-like 2
GATSL3	GATS protein-like 3
GBA	GBA1|glucosidase, beta, acid
GBA2	KIAA1605|AD035|DKFZp762K054|glucosidase, beta (bile acid) 2
GBA3	GLUC|KLrP|glucosidase, beta, acid 3 (gene/pseudogene)
GBAS	NIPSNAP2|glioblastoma amplified sequence
GBE1	glucan (1,4-alpha-), branching enzyme 1
GBF1	KIAA0248|ARF1GEF|golgi brefeldin A resistant guanine nucleotide exchange factor 1
GBGT1	UDP-GalNAc|A3GALNT|MGC44848|FS|globoside alpha-1,3-N-acetylgalactosaminyltransferase 1
GBP1	guanylate binding protein 1, interferon-inducible
GBP2	guanylate binding protein 2, interferon-inducible
GBP3	FLJ10961|guanylate binding protein 3
GBP4	Mpa2|guanylate binding protein 4
GBP5	guanylate binding protein 5
GBP6	DKFZp686G0786|guanylate binding protein family, member 6
GBP7	FLJ38822|GBP4L|guanylate binding protein 7
GBX1	gastrulation brain homeobox 1
GBX2	gastrulation brain homeobox 2
GC	DBP|VDBP|hDBP|group-specific component (vitamin D binding protein)
GCA	GCL|grancalcin, EF-hand calcium binding protein
GCAT	KBL|glycine C-acetyltransferase
GCC1	FLJ22035|GCC88|GCC1P|MGC20706|GRIP and coiled-coil domain containing 1
GCC2	GCC185|KIAA0336|GRIP and coiled-coil domain containing 2
GCDH	ACAD5|glutaryl-CoA dehydrogenase
GCFC2	DNABF|GCF|GC-rich sequence DNA-binding factor 2
GCG	GLP1|GLP2|GRPP|glucagon
GCGR	GGR|glucagon receptor
GCH1	GTPCH1|DYT5a|GTP cyclohydrolase 1
GCHFR	GFRP|HsT16933|GTP cyclohydrolase I feedback regulator
GCK	HK4|glucokinase (hexokinase 4)
GCKR	glucokinase (hexokinase 4) regulator
GCLC	GCS|glutamate-cysteine ligase, catalytic subunit
GCLM	glutamate-cysteine ligase, modifier subunit
GCM1	hGCMa|glial cells missing homolog 1 (Drosophila)
GCM2	hGCMb|glial cells missing homolog 2 (Drosophila)
GCN1	KIAA0219|GCN1L|GCN1 eIF2 alpha kinase activator homolog
GCNT1	C2GNT|NAGCT2|glucosaminyl (N-acetyl) transferase 1, core 2
GCNT2	IGNT|NAGCT1|bA421M1.1|bA360O19.2|ULG3|glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)
GCNT3	C2GnT-M|C2/4GnT|C2GnT2|glucosaminyl (N-acetyl) transferase 3, mucin type
GCNT4	C2GNT3|glucosaminyl (N-acetyl) transferase 4, core 2
GCNT6	bA421M1.3|glucosaminyl (N-acetyl) transferase 6
GCNT7	dJ1153D9.2|glucosaminyl (N-acetyl) transferase family member 7
GCSAM	MGC40441|HGAL|germinal center-associated, signaling and motility
GCSAML	FLJ44728|germinal center-associated, signaling and motility-like
GCSH	glycine cleavage system protein H (aminomethyl carrier)
GDA	guanine deaminase
GDAP1	CMT4|CMT2K|ganglioside induced differentiation associated protein 1
GDAP1L1	ganglioside induced differentiation associated protein 1-like 1
GDAP2	FLJ20142|dJ776P7.1|MACROD3|ganglioside induced differentiation associated protein 2
GDE1	MIR16|glycerophosphodiester phosphodiesterase 1
GDF1	growth differentiation factor 1
GDF10	BMP-3b|growth differentiation factor 10
GDF11	BMP-11|growth differentiation factor 11
GDF15	PLAB|MIC-1|PDF|MIC1|NAG-1|PTGFB|growth differentiation factor 15
GDF2	BMP-9|BMP9|growth differentiation factor 2
GDF3	growth differentiation factor 3
GDF5	CDMP1|BMP14|growth differentiation factor 5
GDF6	BMP13|KFS|KFS1|growth differentiation factor 6
GDF7	BMP12|growth differentiation factor 7
GDF9	growth differentiation factor 9
GDI1	RABGDIA|XAP-4|OPHN2|FLJ41411|GDP dissociation inhibitor 1
GDI2	RABGDIB|GDP dissociation inhibitor 2
GDNF	ATF1|ATF2|HFB1-GDNF|glial cell derived neurotrophic factor
GDPD1	FLJ37451|GDE4|glycerophosphodiester phosphodiesterase domain containing 1
GDPD2	OBDPF|FLJ20207|GDE3|glycerophosphodiester phosphodiesterase domain containing 2
GDPD3	MGC4171|glycerophosphodiester phosphodiesterase domain containing 3
GDPD4	GDE6|glycerophosphodiester phosphodiesterase domain containing 4
GDPD5	PP1665|GDE2|glycerophosphodiester phosphodiesterase domain containing 5
GDPGP1	GDP-D-glucose phosphorylase 1
GEM	KIR|GTP binding protein overexpressed in skeletal muscle
GEMIN2	gem nuclear organelle associated protein 2
GEMIN4	HHRF-1|DKFZP434B131|p97|DKFZP434D174|HC56|HCAP1|gem nuclear organelle associated protein 4
GEMIN5	gem nuclear organelle associated protein 5
GEMIN6	FLJ23459|gem nuclear organelle associated protein 6
GEMIN7	FLJ13956|gem nuclear organelle associated protein 7
GEMIN8	FLJ20514|gem nuclear organelle associated protein 8
GEN1	FLJ40869|Gen|GEN1 Holliday junction 5' flap endonuclease
GET4	CGI-20|H_NH1244M04.5|CEE|TRC35|golgi to ER traffic protein 4
GFAP	FLJ45472|glial fibrillary acidic protein
GFER	HSS|ERV1|ALR|HERV1|HPO1|HPO2|growth factor, augmenter of liver regeneration
GFI1	GFI1A|GFI-1|growth factor independent 1 transcription repressor
GFI1B	ZNF163B|growth factor independent 1B transcription repressor
GFM1	EFGM|GFM|EGF1|G elongation factor, mitochondrial 1
GFM2	EFG2|FLJ21661|G elongation factor, mitochondrial 2
GFOD1	FLJ20330|ADG-90|glucose-fructose oxidoreductase domain containing 1
GFOD2	FLJ23802|MGC11335|glucose-fructose oxidoreductase domain containing 2
GFPT1	GFAT|GFA|GFAT1|glutamine--fructose-6-phosphate transaminase 1
GFPT2	GFAT2|glutamine-fructose-6-phosphate transaminase 2
GFRA1	RETL1|GDNFR|GFR-ALPHA-1|RET1L|TRNR1|GDNF family receptor alpha 1
GFRA2	RETL2|GDNFRB|NTNRA|TRNR2|GDNF family receptor alpha 2
GFRA3	GFRa-3|GDNF family receptor alpha 3
GFRA4	GDNF family receptor alpha 4
GFRAL	GRAL|UNQ9356|bA360D14.1|GDNF family receptor alpha like
GFY	Goofy|golgi-associated, olfactory signaling regulator
GGA1	golgi-associated, gamma adaptin ear containing, ARF binding protein 1
GGA2	VEAR|KIAA1080|golgi-associated, gamma adaptin ear containing, ARF binding protein 2
GGA3	KIAA0154|golgi-associated, gamma adaptin ear containing, ARF binding protein 3
GGACT	gamma-glutamylamine cyclotransferase
GGCT	MGC3077|CRF21|Ggc|gamma-glutamylcyclotransferase
GGCX	VKCFD1|gamma-glutamyl carboxylase
GGH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
GGN	FLJ35713|MGC33369|gametogenetin
GGNBP2	ZFP403|LZK1|FLJ22561|FLJ21230|DIF-3|DIF3|gametogenetin binding protein 2
GGPS1	GGPPS1|geranylgeranyl diphosphate synthase 1
GGT1	D22S672|D22S732|CD224|gamma-glutamyltransferase 1
GGT2	gamma-glutamyltransferase 2
GGT5	GGT-REL|gamma-glutamyltransferase 5
GGT6	FLJ90165|gamma-glutamyltransferase 6
GGT7	D20S101|dJ18C9.2|gamma-glutamyltransferase 7
GGTLC1	dJ831C21.2|dJ831C21.1|gamma-glutamyltransferase light chain 1
GGTLC2	gamma-glutamyltransferase light chain 2
GH1	GH-N|GHN|GH|hGH-N|growth hormone 1
GH2	GH-V|GHV|GHL|hGH-V|growth hormone 2
GHDC	LGP1|GH3 domain containing
GHITM	HSPC282|PTD010|DERP2|My021|TMBIM5|growth hormone inducible transmembrane protein
GHR	GHBP|growth hormone receptor
GHRH	growth hormone releasing hormone
GHRHR	growth hormone releasing hormone receptor
GHRL	MTLRP|ghrelin|obestatin|ghrelin/obestatin prepropeptide
GHSR	growth hormone secretagogue receptor
GID4	VID24|GID complex subunit 4 homolog
GID8	FLJ20602|bA305P22.1|TWA1|GID complex subunit 8
GIF	TCN3|IF|IFMH|INF|gastric intrinsic factor (vitamin B synthesis)
GIGYF1	GYF1|GRB10 interacting GYF protein 1
GIGYF2	KIAA0642|GYF2|GRB10 interacting GYF protein 2
GIMAP1	HIMAP1|IMAP38|IMAP1|IAN2|GTPase, IMAP family member 1
GIMAP2	DKFZp586D0824|HIMAP2|IMAP2|IAN12|GTPase, IMAP family member 2
GIMAP4	HIMAP4|FLJ11110|IMAP4|IAN1|GTPase, IMAP family member 4
GIMAP5	HIMAP3|IAN5|GTPase, IMAP family member 5
GIMAP6	FLJ22690|IAN6|GTPase, IMAP family member 6
GIMAP7	MGC27027|IAN7|GTPase, IMAP family member 7
GIMAP8	DKFZp667I133|hIAN6|IAN9|GTPase, IMAP family member 8
GIMD1	GIMAP family P-loop NTPase domain containing 1
GIN1	FLJ20125|GIN-1|TGIN1|gypsy retrotransposon integrase 1
GINM1	dJ12G14.2|glycoprotein integral membrane 1
GINS1	KIAA0186|PSF1|GINS complex subunit 1 (Psf1 homolog)
GINS2	PSF2|Pfs2|GINS complex subunit 2 (Psf2 homolog)
GINS3	FLJ13912|PSF3|GINS complex subunit 3 (Psf3 homolog)
GINS4	MGC14799|SLD5|GINS complex subunit 4 (Sld5 homolog)
GIP	gastric inhibitory polypeptide
GIPC1	TIP-2|Hs.6454|GIPC|SEMCAP|GLUT1CBP|SYNECTIN|NIP|GIPC PDZ domain containing family, member 1
GIPC2	FLJ20075|SEMCAP-2|GIPC PDZ domain containing family, member 2
GIPC3	DFNB95|GIPC PDZ domain containing family, member 3
GIPR	gastric inhibitory polypeptide receptor
GIT1	G protein-coupled receptor kinase interacting ArfGAP 1
GIT2	KIAA0148|G protein-coupled receptor kinase interacting ArfGAP 2
