NoAb	NoD@ NA
mouse_E12.5_HL	Unc@ Unclassified
mouse_E12.5_FL	Unc@ Unclassified
None|Mammary tissues	InP@ Input control
Stat3|Th17 in vitro	Oth@ Stat3
Hif1a|Th17 in vitro	Oth@ Hif1a
Fosl2|Th17 in vitro	Oth@ Fosl2
Treg Input	InP@ Input control
six2|fresh Six2-expressing cells	Oth@ Six2
H3K4me3 : Millipore (04-745)|liver	His@ H3K4me3
ESCs	Unc@ Unclassified
RA-treated ESCs	Unc@ Unclassified
HSF-1|STHdhQ111/Q111 striatal cells	Oth@ Hsf1
H3K4me3|Macrophages	His@ H3K4me3
none|Mouse V19-OSKM Fibroblast	InP@ Input control
NIF1|lateral telencephalon	Oth@ Zfp335
Pol2|Mll3/ MEF	Pol@ RNA Polymerase II
Mll3|Mll3/ MEF	Oth@ Kmt2c
H3K4Me3|Mll3/ MEF	His@ H3K4me3
none|B cell enriched splenocytes	InP@ Input control
anti-GFP|Whole Brain	Oth@ GFP
H3K4me2|APC H3K4me2 ChIPseq	His@ H3K4me2
H3K4me3|APC H3K4me3 ChIPseq	His@ H3K4me3
Atf4|ab28830-100|sc-200|bone marrow	Oth@ Atf4
Cux2|liver tissue	Oth@ Cux2
Rad21|whole brain	Oth@ Rad21
CTCF|whole brain	Oth@ Ctcf
anti-STAT5|MEF_STAT5-OE-GH-IP	Oth@ Stat5a
anti-STAT5|MEF_STAT5-OE-IP	Oth@ Stat5a
H3K9ac|T-ALL H3K9ac	His@ H3K9ac
H3K4me3|T-ALL H3K4me3	His@ H3K4me3
H3K4me3|DP H3K4me3	His@ H3K4me3
H3K27me3|DP H3K27me3	His@ H3K27me3
H3K27me3|MEF	His@ H3K27me3
IgG|MEF	InP@ Input control
HELLS|MEF	Oth@ Hells
E2F3|MEF	Oth@ E2f3
H3K4me3|ab8580|Mouse liver cells	His@ H3K4me3
Pol II|Liver	Pol@ RNA Polymerase II
Rev-erba|Liver	Oth@ Nr1d1
NCoR|Liver	Oth@ Ncor1
none|primary myotubes	InP@ Input control
Sox6|primary myotubes	Oth@ Sox6
sc-30486|osteoblast	Oth@ Tnni2
H3K4me3|H3K4me3_ChIPSeq	His@ H3K4me3
H3K9ac|H3K9ac_ChIPSeq	His@ H3K9ac
H3K27me3|H3K27me3_ChIPSeq	His@ H3K27me3
GATA3|GATA3_ChIPSeq	Oth@ Gata3
control_Ab|control_Ab_ChIPSeq	InP@ Input control
H3K27me3 (Millipore 07-449)|ThyDP	His@ H3K27me3
H3K27me3 (Millipore 07-449)|ThyDN3	His@ H3K27me3
H3K27me3 (Millipore 07-449)|FLDN2b	His@ H3K27me3
H3K27me3 (Millipore 07-449)|FLDN1	His@ H3K27me3
none|Frontal cortex	InP@ Input control
ES_Input_ChIPseq	InP@ Input control
anti-monomethyl-H3K4 (Abcam #ab8895)|ES_H3K4me2_ChIPseq	His@ H3K4me1
GATA1|sc-265|Ter119+ cells	Oth@ Gata1
H3K27me3|07-449|G1E cells	His@ H3K27me3
FoxA2|Control liver	Oth@ Foxa2
H3K36me3|Doxycycline-induced MEFs	His@ H3K36me3
H3K4me3|Doxycycline-induced MEFs	His@ H3K4me3
H3K4me1|Doxycycline-induced MEFs	His@ H3K4me1
anti-NFYA|Terminally differentiated Neurons (TN)	Oth@ Nfya
H3K27Me3|liver	His@ H3K27me3
H3K4me2|liver	His@ H3K4me2
H4K8ac|mouse B cells	His@ H4K8ac
H3K9ac|mouse B cells	His@ H3K9ac
Sin3B|C2C12 myoblasts	Oth@ Sin3b
Sin3A|C2C12 myotubes	Oth@ Sin3a
Sin3A|C2C12 myoblasts	Oth@ Sin3a
none|C2C12 myotubes	InP@ Input control
CTCF|Upstate 07-729|Mouse embryonic fibroblasts	Oth@ Ctcf
RNA Pol II (8WG16)|Covance MMS-126R|Mouse embryonic fibroblasts	Pol@ RNA Polymerase II
H3K4me1 (ab8895)|A12 (E2A-/- T cell)	His@ H3K4me1
none|Mouse embryonic fibroblast	InP@ Input control
none|WCE	InP@ Input control
anti-H3K4me3|Double positive cells	His@ H3K4me3
anti-H3K4me1|Double positive cells	His@ H3K4me1
anti-H3K27me3|Double positive cells	His@ H3K27me3
anti-Scl	Oth@ Tal1
anti-uH2A(E6C5)	His@ H2Aub
Tcf3	Oth@ Tcf3
Suz12	Oth@ Suz12
Nanog	Oth@ Nanog
H3K36me3	His@ H3K36me3
H3k122	His@ H3K122ac
H3K27ac	His@ H3K27ac
Foxp2	Oth@ Foxp2
Bcl6	Oth@ Bcl6
polIII	Pol@ RNA Polymerase II
none|Cortex	InP@ Input control
Total MeCP2 antibody (Chen et al. 2003)|Cortex	Oth@ Mecp2
H3K27ac (ab4729, Abcam)|MBD3-/- ES	His@ H3K27ac
Oct4 (sc5279(C-10), Santa Cruz)|MBD3flox/- iPSC	Oth@ Pou5f1
H3K27ac (ab4729, Abcam)|MBD3flox/- iPSC	His@ H3K27ac
Oct4 (sc5279(C-10), Santa Cruz)|MBD3flox/- 8 days after dox induction	Oth@ Pou5f1
H3K27ac (ab4729, Abcam)|MBD3flox/- 8 days after dox induction	His@ H3K27ac
Oct4 (sc5279(C-10), Santa Cruz)|MBD3flox/- 4 days after dox induction	Oth@ Pou5f1
H3K27ac (ab4729, Abcam)|MBD3flox/- 4 days after dox induction	His@ H3K27ac
Oct4 (sc5279(C-10), Santa Cruz)|WT iPSC	Oth@ Pou5f1
H3K27ac (ab4729, Abcam)|WT iPSC	His@ H3K27ac
H3K27ac (ab4729, Abcam)|WT 8 days after dox induction	His@ H3K27ac
Oct4 (sc5279(C-10), Santa Cruz)|WT 4 days after dox induction	Oth@ Pou5f1
H3K27ac (ab4729, Abcam)|WT 4 days after dox induction	His@ H3K27ac
Oct4 (sc5279(C-10), Santa Cruz)|MBD3flox/- MEF	Oth@ Pou5f1
H3K27ac (ab4729, Abcam)|MBD3flox/- MEF	His@ H3K27ac
Oct4 (sc5279(C-10), Santa Cruz)|WT MEF	Oth@ Pou5f1
H3K27ac (ab4729, Abcam)|WT MEF	His@ H3K27ac
NCOR2 (PA1-843) (Thermo Scientific)|Bone-marrow derived macrophages	Oth@ Ncor2
HDAC3 (sc-11417) (Santa Cruz Biotechnology)|Bone-marrow derived macrophages	Oth@ Hdac3
anti-BRG1 (SMARCA4) antibody|3134 cells	Oth@ Smarca4
anti-IgG (Jackson ImmunoResearch, catalog# 011-000-003, lot# 79330)|placenta tissue embryonic day 17.5 (E17.5)	InP@ Input control
anti-Grhl2 (Sigma Aldrich, catalog# HPA004820, lot# A35809)|placenta tissue embryonic day 17.5 (E17.5)	Oth@ Grhl2
Sirt6 (Cell Signaling Technology, 12486 in a ratio of 5ml/2e7 cells)|Embryonic stem cells (ESCs)	Oth@ Sirt6
Mammary tissues	Unc@ Unclassified
Jmjd1c|embryonic stem cells	Oth@ Jmjd1c
Spt16|embryonic stem cells	Oth@ Supt16
H4K20me1 (Abcam, catalog# ab9051, lot# GR4867-1)|Hippocampus	His@ H4K20me1
H3K4me3 (Millipore, catalog# 07-473, lot# DAM1817678)|Hippocampus	His@ H3K4me3
H3K27me3 (Millipore, catalog# 07-449, lot# 1999681)|Hippocampus	His@ H3K27me3
4-Oct|Abcam ab19857|mouse embryonic stem cells (E14)	Oth@ Pou5f1
Pol II Antibody (N-20)|primary Rag2 -/- thymocytes	Pol@ RNA polymerase II
anti-TBX19 (HPA005800, Sigma-Aldrich)|AtT20 cells	Oth@ Tbx19
anti-H3K4me1 (07-436, Millipore)|AtT20 cells	His@ H3K4me3
anti-H3K27ac (b4729, Abcam)|AtT20 cells	His@ H3K27ac
anti-P300 (sc585)|AtT20 cells	Oth@ Ep300
Zic3 (Abcam, ab80966)|ES cell culture	Oth@ Zic3
MigR1-HA-Gata1s|anti-HA|G1ME cells	Oth@ Gata1
V5-Fbxl10|D2_V5_Fbxl10-1_peaks	Oth@ Kdm2b
RING1B|D2_RING1B_Fbxl10_Exp.2	Oth@ Rnf2
RING1B|D2_RING1B_Fbxl10_Exp.1	Oth@ Rnf2
RING1B|D2_RING1B_dFbox_Exp.2	Oth@ Rnf2
RING1B|D2_RING1B_dFbox_Exp.1	Oth@ Rnf2
RING1B|D2_RING1B_Empty_Exp.2	Oth@ Rnf2
RING1B|D2_RING1B_Empty_Exp.1	Oth@ Rnf2
anti-H3K4me3|p30-GMP-blast cells	His@ H3K4me3
anti-CEBPA|p30-GMP-blast cells	Oth@ Cebpa
None|Spleen red pulp macrophages	InP@ Input control
None|Neutrophils	InP@ Input control
None|Monocytes	InP@ Input control
None|Peritoneal cavity macrophages	InP@ Input control
None|Lung macrophages	InP@ Input control
None|Small intestine macrophages	InP@ Input control
None|Large intestine macrophages	InP@ Input control
None|Kupffer cells	InP@ Input control
None|Brain microglia	InP@ Input control
Wildtype BAT	Unc@ Unclassified
H3K27ac (Abcam ab4729)|Prdm16 Knockout BAT	His@ H3K27ac
H3K27ac (Abcam ab4729)|Wildtype BAT	His@ H3K27ac
Med1(Bethyl A300-793A)|Prdm16 Knockout BAT	Oth@ Med1
Med1(Bethyl A300-793A)|Wildtype BAT	Oth@ Med1
PolII (Santa Cruz sc-899 or sc-9001)|Prdm16 Knockout BAT	Pol@ RNA polymerase II
PolII (Santa Cruz sc-899 or sc-9001)|Wildtype BAT	Pol@ RNA polymerase II
PolII (Santa Cruz sc-899, sc-9001)|Epididymal white adipose tissue	Pol@ RNA polymerase II
PolII (Santa Cruz sc-899, sc-9001)|Brown adipose tissue	Pol@ RNA polymerase II
H3K27ac (Abcam ab4729)|Epididymal white adipose tissue	His@ H3K27ac
H3K27ac (Abcam ab4729)|Brown adipose tissue	His@ H3K27ac
input_LPS(120')	InP@ Input control
input_unstimulated	InP@ Input control
H3K18Cr_LPS(120')	His@ H3K18cr
H3K18Cr_unstimulated	His@ H3K18cr
H3K18Ac_LPS(120')	His@ H3K18ac
H3K18Ac_unstimulated	His@ H3K18ac
input|mouse saline NAc ChIP input	InP@ Input control
input|mouse cocaine NAc ChIP input	InP@ Input control
SREBP-1|sc-13551, sc-8984, sc-367|Primary thioglycollate-elicited peritoneal macrophages	Oth@ Srebf1
PPARg|sc-7196, sc-1984|Primary thioglycollate-elicited peritoneal macrophages	Oth@ Pparg
RXR|sc-553, sc-774|Primary thioglycollate-elicited peritoneal macrophages	Oth@ Rxra
H3K4me3|P5424 H3K4me3 (KM)	His@ H3K4me3
H3K4me3|P5424 H3K4me3 (DMSO)	His@ H3K4me3
H3K4me2|P5424 H3K4me2 (KM)	His@ H3K4me2
H3K4me2|P5424 H3K4me2 (DMSO)	His@ H3K4me2
H3K4me1|P5424 H3K4me1 (KM)	His@ H3K4me1
H3K4me1|P5424 H3K4me1 (DMSO)	His@ H3K4me1
RNA Pol II|P5424 RNA Pol II (KM)	Pol@ RNA Polymerase II
RNA Pol II|P5424 RNA Pol II (DMSO)	Pol@ RNA Polymerase II
none (whole cell extract)|Lung macrophages with CD45.1 mark	InP@ Input control
none (whole cell extract)|Kupffer cells with CD45.1 mark	InP@ Input control
none (whole cell extract)|Spleen red pulp macrophages with CD45.1 mark	InP@ Input control
none (whole cell extract)|Peritoneal cavity macrophages with CD45.1 mark	InP@ Input control
anti-H3K27ac|Spleen red pulp macrophages	His@ H3K27ac
anti-H3K4me2|Neutrophils	His@ H3K4me2
anti-H3K4me2|Monocytes	His@ H3K4me2
anti-H3K4me2|Lung macrophages	His@ H3K4me2
anti-H3K4me2|Small intestine macrophages	His@ H3K4me2
anti-H3K4me2|Large intestine macrophages	His@ H3K4me2
anti-H3K4me2|Brain microglia	His@ H3K4me2
Hand1|ES cell derived day4 EB (embryoid body) Flk1+ mesodermal cells	Oth@ Hand1
NOT APPLICABLE|Hematopoietic stem cells (HSC)	InP@ Input control
Abcam ab8895|Hematopoietic stem cells (HSC)	His@ H3K4me1
Abcam ab4729|Hematopoietic stem cells (HSC)	His@ H3K27ac
Millipore 07-549|Hematopoietic stem cells (HSC)	His@ H3K36me3
H3K9me1, Ab8896 (Abcam)|RA-treated WT ESC	His@ H3K9me1
H3K9me1, Ab8896 (Abcam)|WT ESC	His@ H3K9me1
H3K9me1, Ab8896 (Abcam)|RA-treated Mutant ESC	His@ H3K9me1
H3K9me1, Ab8896 (Abcam)|Mutant ESC	His@ H3K9me1
H3K9me2, mAbcam 1220|WT ESC	His@ H3K9me2
H3K9me, mAbcam 1220|WT ESC	His@ H3K9me2
ES cells	Unc@ Unclassified
anti-Sox2 (R&amp;D Systems, Cat. # AF2018, Lot # KOY0112011)|ES cells treated with TSA, Sox2 ChIP	Oth@ Sox2
BRD3 sera|G1E_BRD3 +GATA1	Oth@ Brd3
BRD3 sera|G1E_BRD3 G1E	Oth@ Brd3
H3K4me1|MC_A12_pDC_sh-Irf8_K4me1	His@ H3K4me1
H3K4me1|MC_A10_cDC_sh-Cebpb_K4me1	His@ H3K4me1
H3K4me1|MC_A11_pDC_sh-control_K4me1	His@ H3K4me1
H3K4me1|MC_A09_cDC_sh-control_K4me1	His@ H3K4me1
Cebpb|pdc_cebpb	Oth@ Cebpb
Cebpb|cdc_cebpb	Oth@ Cebpb
Irf8|pdc_irf8	Oth@ Irf8
Irf8|cdc_irf8	Oth@ Irf8
Pu.1|Sample_MC_12_pDC_pu1	Oth@ Spi1
Pu.1|Sample_MC_05_cDC_pu1	Oth@ Spi1
H3K27Ac|05_MC_in_vivo_pDC_K27Ac_1	His@ H3K27ac
H3K27Ac|03_MC_moDC_K27Ac_1	His@ H3K27ac
H3K27Ac|01_MC_moDC_K27Ac_1	His@ H3K27ac
H3K4me3|pdc_k4me3	His@ H3K4me3
H3K4me3|cdc_k4me3	His@ H3K4me3
H3K4me1|Sample_MC_16_InVivo_pDC_K4me1	His@ H3K4me1
H3K4me1|pdc_k4me1	His@ H3K4me1
H3K4me1|cdc_k4me1	His@ H3K4me1
none|iMOP cells	InP@ Input control
H3K9me3|ab8898|Embryonic stem cells	His@ H3K9me3
H3K27me3|ab6002|Embryonic stem cells	His@ H3K27me3
H3K36me3|ab9050|Embryonic stem cells	His@ H3K36me3
H3K79me2|ab3594|Embryonic stem cells	His@ H3K79me2
H3K4me3|ab8580|Embryonic stem cells	His@ H3K4me3
H3K27Ac|ab4729|Embryonic stem cells	His@ H3K27ac
IgG|12-370|Embryonic stem cells	InP@ Input control
input|GC B cells	InP@ Input control
input|CSR activated B cells	InP@ Input control
H3K27Ac (abcam, ab4729)|GC B cells	His@ H3K27ac
H3K27Ac (abcam, ab4729)|CSR activated B cells	His@ H3K27ac
NA|activated B cell	InP@ Input control
none (input)|Round spermatid	InP@ Input control
Millipore 06-866|Round spermatid	His@ H4ac
Active Motif AM39167|Round spermatid	His@ H3K9ac
Millipore 07-595|Round spermatid	His@ H4K12ac
Millipore 07-328|Round spermatid	His@ H4K8ac
Millipore 07-327|Round spermatid	His@ H4K5ac
Active Motif AM39137|Round spermatid	His@ H3K9ac
Abcam ab8898|Round spermatid	His@ H3K9me3
Bethyl A301-985A50|Round spermatid	Oth@ Brd4
EED (Millipore, 17-663)|Spermatocytes	Oth@ Eed
H3K4me3 (Abcam, ab8580)|Spermatocytes	His@ H3K4me3
serine 5-phosphorylated RNA Polymerase II (Abcam)|primary MEFs	Pol@ RNA Polymerase II
H3K27me3|T cell acute lymphocytic leukemia	His@ H3K27me3
H3K4me3|T cell acute lymphocytic leukemia	His@ H3K4me3
H3K4me1|T cell acute lymphocytic leukemia	His@ H3K4me1
none|Mouse hair follicle TACs	InP@ Input control
Cell Signal pSmad1/5/8 no 9511|Mouse hair follicle TACs	Oth@ Smad1
none|Mouse hair follicle stem cells	InP@ Input control
Cell Signal pSmad1/5/8 no 9511|Mouse hair follicle stem cells	Oth@ Smad1
Splenic B cells, Input	InP@ Input control
Splenic B cells, miR-155 KO, PU.1 IP	Oth@ Spi1
Splenic B cells, PU.1 KI, PU.1 IP	Oth@ Spi1
Splenic B cells, Wild type, PU.1 IP	Oth@ Spi1
H3K27me3 (#17-622, Millipore)|Junction E10.5	His@ H3K27me3
H3K27me3 (#17-622, Millipore)|Maxillary arch E10.5	His@ H3K27me3
H3K27ac (abcam, catalog# ab4729, lot# GR132150-1)|primary HFSCs	His@ H3K27ac
none|primary HFSCs	InP@ Input control
anti-CTCF antibody|CTCF ChIP-Seq 0 min Cort	Oth@ Ctcf
Input Pol II	InP@ Input control
RNA polymerase II phosphoS5 antibody|Pol II ChIP-Seq 60 min Cort Constant	Pol@ RNA polymerase II
RNA polymerase II phosphoS5 antibody|Pol II ChIP-Seq 60 min Cort Pulsed	Pol@ RNA polymerase II
RNA polymerase II phosphoS5 antibody|Pol II ChIP-Seq 20 min Cort	Pol@ RNA polymerase II
RNA polymerase II phosphoS5 antibody|Pol II ChIP-Seq 0 min Cort	Pol@ RNA polymerase II
GR ChIP-Seq input 60 min Cort Constant	InP@ Input control
GR ChIP-Seq input 60 min Cort Pulsed	InP@ Input control
GR ChIP-Seq input 20 min Cort	InP@ Input control
GR ChIP-Seq input 0 min Cort	InP@ Input control
GR Antibody|GR ChIP-Seq 60 min Cort Constant	Oth@ Nr3c1
GR Antibody|GR ChIP-Seq 60 min Cort Pulsed	Oth@ Nr3c1
GR Antibody|GR ChIP-Seq 20 min Cort	Oth@ Nr3c1
GR Antibody|GR ChIP-Seq 0 min Cort	Oth@ Nr3c1
Normal Rabbit IgG|Myoblast	InP@ Input control
MEF2A|Myoblast	Oth@ Mef2a
anti-HA|416B expressing HA-T-VP64-PU.1-14	Oth@ Epitope tags
anti-HA|416B WT control	Oth@ Epitope tags
Flag (SIGMA M2 F1804)|dCas9-noED + control gRNA	Oth@ Epitope tags
Flag (SIGMA M2 F1804)|dCas9-KRAB + S2 gRNA	Oth@ Epitope tags
Flag (SIGMA M2 F1804)|dCas9-KRAB + S1 gRNA	Oth@ Epitope tags
none|VEC_Input	InP@ Input control
H3K9ac (Epitomics, 1328-1)|VEC_H3K9ac	His@ H3K9ac
none|CRE_Input	InP@ Input control
H3K9ac (Epitomics, 1328-1)|CRE_H3K9ac	His@ H3K9ac
testis	Unc@ Unclassified
PRDM9|testis	Oth@ Prdm9
anti-FOXL2 C-terminal antibody (from lab)|cells from preantral follicles maintained for 9 days in vitro	Oth@ Foxl2
none|cells from preantral follicles maintained for 9 days in vitro	InP@ Input control
H3K4me3 (Abcam ab8580)|mouse embryonic stem cell	His@ H3K4me3
Whole cell extract|Dgcr8 knockout mouse embryonic stem cells	InP@ Input control
RNAP2 antibody: Covance MMS-128P|Dgcr8 knockout mouse embryonic stem cells	Pol@ RNA Polymerase II
H3K36me3 antibody: Abcam ab9050|Dgcr8 knockout mouse embryonic stem cells	His@ H3K36me3
H3K27ac antibody: Abcam ab4729|Dgcr8 knockout mouse embryonic stem cells	His@ H3K27ac
H3K9me3 antibody: Abcam ab8898|Dgcr8 knockout mouse embryonic stem cells	His@ H3K9me3
H3K27me3 antibody: Upstate 07-449|Dgcr8 knockout mouse embryonic stem cells	His@ H3K27me3
H3K4me3 antibody: Millipore 07-473|Dgcr8 knockout mouse embryonic stem cells	His@ H3K4me3
H3K27me3S28p (Hansen lab)|6-OHDA lesioned striatum, L-DOPA injected	His@ H3K27me3S28ph
H3K27me3S28p (Hansen lab)|unlesioned striatum, L-DOPA injected	His@ H3K27me3S28ph
H3K4me3 (9751, Cell Signaling)|6-OHDA lesioned striatum, L-DOPA injected	His@ H3K4me3
H3K4me3 (9751, Cell Signaling)|unlesioned striatum, L-DOPA injected	His@ H3K4me3
H3K27me3 (9756, Cell Signaling)|6-OHDA lesioned striatum, L-DOPA injected	His@ H3K27me3
H3K27me3 (9756, Cell Signaling)|unlesioned striatum, L-DOPA injected	His@ H3K27me3
none|6-OHDA lesioned striatum, L-DOPA injected	InP@ Input control
none|unlesioned striatum, L-DOPA injected	InP@ Input control
total rabbit IgG, Millipore, Cat. #12-370|cerebral cortex	InP@ Input control
pan-H3 (Sigma #I8140)|primordial germ cells	His@ H3
H3K9me3 (Active Motif #39161)|somatic gonadal cells	His@ H3K9me3
chip antibody: anti-CTCF|primary CD4+ T cells from spleen and lymph nodes	Oth@ Ctcf
chip antibody: anti-p300, antibody vendor/catalog#: sc-585, Santa Cruz Biotechnology|primary CD4+ T cells from spleen and lymph nodes	Oth@ Ep300
CD4+ cells, Foxo1tagBirA mice	Unc@ Unclassified
CD4+ cells	Unc@ Unclassified
Strepdavidin|CD4+ cells, Foxo1tagBirA mice	Oth@ Biotin
Foxo1 antibody (Abcam, Ab39670)|CD4+ cells	Oth@ Foxo1
Rabbit polyclonal antibodies to DMRT6|Dmrt6 ChIP	Oth@ Dmrtb1
Input	InP@ Input control
P300 (Santa Cruz, sc585, lot# B0413)|brain	Oth@ Ep300
BMI1 (Bethyl, A301-694A, lot# A301-694A-3)|brain	Oth@ Bmi1
H2AK119ub1 (Cell Signaling, 8240, lot# 1)|brain	His@ H2AK119ub
H3K27me3 (Millipore, 07-449, lot# JBC1873477)|brain	His@ H3K27me3
H3K36me3 (abcam, ab9050, lot#, GR75636-1)|brain	His@ H3K36me3
H3K4me3 (abcam, ab8580, lot# GR86940-1)|brain	His@ H3K4me3
H3K27ac (abcam, ab4729, lot# GR103379-1)|brain	His@ H3K27ac
PolII (Santa Cruz, sc899, lot#, G2414)|brain	Pol@ RNA Polymerase II
RING1B (form Luciano Di Croce)|brain	Oth@ Rnf2
AUTS2 (house made)|brain	Oth@ Auts2
none|brain	InP@ Input control
primary CD4+ T cells from spleen	Unc@ Unclassified
anti-RARa (Diagenode C15310155)|primary CD4+ T cells from spleen	Oth@ Rara
H2AK119Ub1|Cell Signaling #8240|Differentiated motor neuron	His@ H2AK119ub
input DNA|none|embryonic stem cells, TC11, empty vector, input	InP@ Input control
none|Forebrain	InP@ Input control
Total MeCP2 antibody (Chen et al. 2003)|Forebrain	Oth@ Mecp2
Cdk7|Bethyl A300-405A|Embryonic stem cells	Oth@ Cdk7
RNA Pol II (Ser7 phospho CTD)|Millipore 04-1570|Embryonic stem cells	Pol@ RNA Polymerase II
dendritic cells, D1 curdlan + Fk506 Input	InP@ Input control
dendritic cells, D1 curdlan+Fk506 2h H3K4me3	His@ H3K4me3
dendritic cells, D1 curdlan Input	InP@ Input control
dendritic cells, D1 curdlan 2h H3K4me3	His@ H3K4me3
dendritic cells, D1 NT Input	InP@ Input control
dendritic cells, D1 NT H3K4me3	His@ H3K4me3
dendritic cells, NFAT1 curdlan Input	InP@ Input control
dendritic cells, NFAT1 curdlan V5	Oth@ Nfatc2
Pol II (N20) Santa Cruze, SC-899|mouse embryonic pluripotent stem cells	Pol@ RNA Polymerase II
Pol II (N20) Santa Cruze, SC-899|mouse reprogramming intermediates at Day8	Pol@ RNA Polymerase II
Pol II (N20) Santa Cruze, SC-899|mouse reprogramming intermediates at Day5	Pol@ RNA Polymerase II
Pol II (N20) Santa Cruze, SC-899|mouse embryonic fibroblasts	Pol@ RNA Polymerase II
CTCF, MillIpore 07-730|Patski cells	Oth@ Ctcf
CTCF, MillIpore 07-729|Mouse adult hybrid brain	Oth@ Ctcf
H3K4me3|Common Lymphoid Progenitor (CLP)	His@ H3K4me3
H3K4me3|NK Cells	His@ H3K4me3
H3K4me3|T CD8+ cells	His@ H3K4me3
H3K4me3|T CD4+ cells	His@ H3K4me3
H3K4me3|B cells	His@ H3K4me3
H3K4me3|Bone Marrow Macrophages	His@ H3K4me3
H3K4me3|Monocytes	His@ H3K4me3
H3K4me3|Granulocytes	His@ H3K4me3
H3K4me3|Erythrocytes B (Ery B)	His@ H3K4me3
H3K4me3|Erythrocytes A (Ery A)	His@ H3K4me3
H3K4me3|Megakaryocitic erythroyd progenitor (MEP)	His@ H3K4me3
H3K4me3|Granulocyte Monocyte Progenitor (GMP)	His@ H3K4me3
H3K4me3|Common Myeloid Progenitor (CMP)	His@ H3K4me3
H3K4me3|Multipotent Progenitor (MPP)	His@ H3K4me3
H3K4me3|Short Term Hematopoietic Stem Cell (ST-HSC)	His@ H3K4me3
H3K4me3|Long Term Hematopoietic Stem Cell (LT-HSC)	His@ H3K4me3
H3K4me2|T CD8+ cells	His@ H3K4me2
H3K4me2|T CD4+ cells	His@ H3K4me2
H3K4me2|Common Lymphoid Progenitor (CLP)	His@ H3K4me2
H3K4me2|NK Cells	His@ H3K4me2
H3K4me2|B cells	His@ H3K4me2
H3K4me2|Bone Marrow Macrophages	His@ H3K4me2
H3K4me2|Monocytes	His@ H3K4me2
H3K4me2|Granulocytes	His@ H3K4me2
H3K4me2|Erythrocytes B (Ery B)	His@ H3K4me2
H3K4me2|Erythrocytes A (Ery A)	His@ H3K4me2
H3K4me2|Megakaryocitic erythroyd progenitor (MEP)	His@ H3K4me2
H3K4me2|Granulocyte Monocyte Progenitor (GMP)	His@ H3K4me2
H3K4me2|Common Myeloid Progenitor (CMP)	His@ H3K4me2
H3K4me2|Multipotent Progenitor (MPP)	His@ H3K4me2
H3K4me2|Short Term Hematopoietic Stem Cell (ST-HSC)	His@ H3K4me2
H3K4me2|Long Term Hematopoietic Stem Cell (LT-HSC)	His@ H3K4me2
H3K4me1|Common Lymphoid Progenitor (CLP)	His@ H3K4me1
H3K4me1|NK Cells	His@ H3K4me1
H3K4me1|T CD8+ cells	His@ H3K4me1
H3K4me1|T CD4+ cells	His@ H3K4me1
H3K4me1|B cells	His@ H3K4me1
H3K4me1|Bone Marrow Macrophages	His@ H3K4me1
H3K4me1|Monocytes	His@ H3K4me1
H3K4me1|Granulocytes	His@ H3K4me1
H3K4me1|Erythrocytes B (Ery B)	His@ H3K4me1
H3K4me1|Erythrocytes A (Ery A)	His@ H3K4me1
H3K4me1|Megakaryocitic erythroyd progenitor (MEP)	His@ H3K4me1
H3K4me1|Granulocyte Monocyte Progenitor (GMP)	His@ H3K4me1
H3K4me1|Common Myeloid Progenitor (CMP)	His@ H3K4me1
H3K4me1|Multipotent Progenitor (MPP)	His@ H3K4me1
H3K4me1|Short Term Hematopoietic Stem Cell (ST-HSC)	His@ H3K4me1
H3K4me1|Long Term Hematopoietic Stem Cell (LT-HSC)	His@ H3K4me1
H3K27Ac|Common Lymphoid Progenitor (CLP)	His@ H3K27ac
H3K27Ac|NK Cells	His@ H3K27ac
H3K27Ac|T CD8+ cells	His@ H3K27ac
H3K27Ac|T CD4+ cells	His@ H3K27ac
H3K27Ac|B cells	His@ H3K27ac
H3K27Ac|Bone Marrow Macrophages	His@ H3K27ac
H3K27Ac|Monocytes	His@ H3K27ac
H3K27Ac|Granulocytes	His@ H3K27ac
H3K27Ac|Erythrocytes B (Ery B)	His@ H3K27ac
H3K27Ac|Erythrocytes A (Ery A)	His@ H3K27ac
H3K27Ac|Megakaryocitic erythroyd progenitor (MEP)	His@ H3K27ac
H3K27Ac|Granulocyte Monocyte Progenitor (GMP)	His@ H3K27ac
H3K27Ac|Common Myeloid Progenitor (CMP)	His@ H3K27ac
H3K27Ac|Multipotent Progenitor (MPP)	His@ H3K27ac
H3K27Ac|Short Term Hematopoietic Stem Cell (ST-HSC)	His@ H3K27ac
H3K27Ac|Long Term Hematopoietic Stem Cell (LT-HSC)	His@ H3K27ac
None|None|Embryonic stem cells	InP@ Input control
Med1/TRAP220|Santa Cruz SC-5334|Embryonic stem cells	Oth@ Med1
Med1/TRAP220|Bethyl A300-793A|Embryonic stem cells	Oth@ Med1
None|None|Mouse embryonic fibroblasts	InP@ Input control
ROR alpha|RORalpha (Santa Cruz, sc-6062)|liver	Oth@ Rora
E4BP4|E4BP4 (Santa Cruz, sc-9550 and sc-9549, mixed in 1:1 ratio.)|liver	Oth@ Nfil3
V5-4|Doxycycline treated iER71, ES cell	Oth@ Etv2
V5-1|Doxycycline treated iER71, ES cell	Oth@ Etv2
IgG|Doxycycline treated iER71, ES cell	InP@ Input control
